CIS_OBEC;NAZ_OBEC;TYP_OBEC;OKRSKY_CELKEM;OKRSKY_ZPRAC;OKRSKY_ZPRAC_PROC;ZAPSANI_VOLICI;VYDANE_OBALKY;UCAST_PROC;ODEVZDANE_OBALKY;PLATNE_HLASY;PLATNE_HLASY_PROC;KSTRANA;HLASY;PROC_HLASU
567973;Homole u Panny;OBEC_BEZ_MCMO;1;1;100.00;297;113;38.05;113;113;100.00;77;4;3.53
568007;Chabařovice;OBEC_BEZ_MCMO;3;3;100.00;2011;678;33.71;678;667;98.38;3;6;0.89
568007;Chabařovice;OBEC_BEZ_MCMO;3;3;100.00;2011;678;33.71;678;667;98.38;5;9;1.34
568007;Chabařovice;OBEC_BEZ_MCMO;3;3;100.00;2011;678;33.71;678;667;98.38;7;61;9.14
568007;Chabařovice;OBEC_BEZ_MCMO;3;3;100.00;2011;678;33.71;678;667;98.38;16;51;7.64
568007;Chabařovice;OBEC_BEZ_MCMO;3;3;100.00;2011;678;33.71;678;667;98.38;19;66;9.89
568007;Chabařovice;OBEC_BEZ_MCMO;3;3;100.00;2011;678;33.71;678;667;98.38;28;2;0.29
568007;Chabařovice;OBEC_BEZ_MCMO;3;3;100.00;2011;678;33.71;678;667;98.38;33;108;16.19
568007;Chabařovice;OBEC_BEZ_MCMO;3;3;100.00;2011;678;33.71;678;667;98.38;41;17;2.54
568007;Chabařovice;OBEC_BEZ_MCMO;3;3;100.00;2011;678;33.71;678;667;98.38;42;18;2.69
568007;Chabařovice;OBEC_BEZ_MCMO;3;3;100.00;2011;678;33.71;678;667;98.38;45;18;2.69
568007;Chabařovice;OBEC_BEZ_MCMO;3;3;100.00;2011;678;33.71;678;667;98.38;50;164;24.58
568007;Chabařovice;OBEC_BEZ_MCMO;3;3;100.00;2011;678;33.71;678;667;98.38;63;34;5.09
568007;Chabařovice;OBEC_BEZ_MCMO;3;3;100.00;2011;678;33.71;678;667;98.38;70;22;3.29
568007;Chabařovice;OBEC_BEZ_MCMO;3;3;100.00;2011;678;33.71;678;667;98.38;71;1;0.14
568007;Chabařovice;OBEC_BEZ_MCMO;3;3;100.00;2011;678;33.71;678;667;98.38;75;3;0.44
568007;Chabařovice;OBEC_BEZ_MCMO;3;3;100.00;2011;678;33.71;678;667;98.38;77;85;12.74
568007;Chabařovice;OBEC_BEZ_MCMO;3;3;100.00;2011;678;33.71;678;667;98.38;82;2;0.29
568015;Chlumec;OBEC_BEZ_MCMO;4;4;100.00;3518;1136;32.29;1136;1116;98.24;3;6;0.53
568015;Chlumec;OBEC_BEZ_MCMO;4;4;100.00;3518;1136;32.29;1136;1116;98.24;5;14;1.25
